Code INSEE,Code Postal,Nuance_interco,annee,dep_x,dep_y,dept,election,president_nom,president_prenom,tour,Nom,prenom,Nuance,voix_pct_
01272,01400,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,CHEVREL,Florent,LDIV,51.06382978723404
01272,01400,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,JEULIN,Michel,LDIV,48.93617021276596
01273,01160,LDVG,2014,01,01,01,2014_muni,dupuis,Thierry,t1,DUPUIS,Thierry,LDVG,63.20630749014454
01273,01160,LDVG,2014,01,01,01,2014_muni,dupuis,Thierry,t1,GOULETTE,Gérard,LDIV,36.793692509855454
01275,01700,LDVG,2014,01,01,01,2014_muni,protiere,Pascal,t1,GADIOLET,André,LDIV,57.54141238012206
01275,01700,LDVG,2014,01,01,01,2014_muni,protiere,Pascal,t1,DUBOST,Anne-Christine,LDVD,42.45858761987794
01276,01120,LDVD,2014,01,01,01,2014_muni,guillot vignot,Philippe,t1,BATTISTA,Patrick,LDVD,58.64661654135338
01276,01120,LDVD,2014,01,01,01,2014_muni,guillot vignot,Philippe,t1,DAMIRON,Michel,LDVD,41.35338345864661
01281,01210,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,OBEZ,Jean-François,LDVD,51.82232346241457
01281,01210,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,MERCIER,Jacques,LDVG,48.17767653758543
01283,01100,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,PERRAUD,Michel,LDVD,53.403234405544694
01283,01100,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,FERRI,Mylène,LDVG,17.398258397014395
01285,01600,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,LAUTIER,Vincent,LDIV,50.4725897920605
01285,01600,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,CHALANDON,Xavier,LDVD,49.52741020793951
01288,01630,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,ARMAND,Christian,LDVG,66.35514018691589
01288,01630,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,BLANC,Alain,LDVD,33.64485981308411
01289,01960,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,CHANEL,Christian,LDVD,64.60531102218988
01289,01960,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,FAYARD,Pascal,LDVG,35.39468897781011
